date,rev3q_eok,rev4q_eok,op3q_eok,op4q_eok
2026-03-18,1501.0,1545.8235293999999,214.8823529,217.5882353
2026-03-19,1508.7058824,1550.7647059,215.7647059,218.1764706
2026-03-20,1508.7058824,1550.7647059,215.7647059,218.1764706
2026-03-23,1508.7058824,1550.7647059,215.7647059,218.1764706
2026-03-24,1501.5555556,1539.0555556,212.6666667,214.9444444
2026-03-25,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-03-26,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-03-27,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-03-30,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-03-31,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-04-01,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-04-02,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-04-03,1499.7777778,1535.2222222,211.1111111,213.1111111
2026-04-06,1493.7222222,1534.0555556,207.22222219999998,213.0
2026-04-07,1493.7222222,1534.0555556,207.22222219999998,213.0
2026-04-08,1493.7222222,1534.0555556,207.22222219999998,213.0
2026-04-09,1517.4705881999998,1535.4705881999998,214.1176471,209.6470588
2026-04-10,1517.4705881999998,1535.4705881999998,214.1176471,209.6470588
2026-04-13,1550.4117647,1574.8823529,217.6470588,220.8235294
2026-04-14,1543.9411765,1589.0,215.8823529,222.0
2026-04-15,1535.1176471,1600.1764706000001,212.3529412,227.29411760000002
2026-04-16,1535.1176471,1600.1764706000001,212.3529412,227.29411760000002
2026-04-17,1552.9411765,1615.9411765,215.70588239999998,225.4117647
2026-04-20,1572.9375,1633.5,218.3125,227.0625
2026-04-21,1572.9375,1633.5,218.3125,227.0625
2026-04-22,1564.125,1626.8125,212.75,231.25
2026-04-23,1597.875,1647.4375,221.75,235.875
2026-04-24,1597.875,1647.4375,221.75,235.875
2026-04-27,1597.875,1647.4375,221.75,235.875
2026-04-28,1597.875,1647.4375,221.75,235.875
2026-04-29,1597.875,1647.4375,221.75,235.875
2026-04-30,1597.875,1647.4375,221.75,235.875
2026-05-04,1597.875,1647.4375,221.75,235.875
2026-05-06,1597.875,1647.4375,221.75,235.875
2026-05-07,1597.875,1647.4375,221.75,235.875
2026-05-08,1597.875,1647.4375,221.75,235.875
2026-05-11,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-12,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-13,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-14,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-15,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-18,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-19,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-20,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-21,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-22,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-26,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-27,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-28,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-05-29,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-06-01,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-06-02,1630.0555556,1697.6666667,231.0,255.27777780000002
2026-06-04,1608.4117647,1682.1764706000001,224.6470588,252.8823529
2026-06-05,1608.4117647,1682.1764706000001,224.6470588,252.8823529
2026-06-08,1608.4117647,1682.1764706000001,224.6470588,252.8823529
2026-06-09,1608.4117647,1682.1764706000001,224.6470588,252.8823529
2026-06-10,1604.2941176,1681.0,224.05882350000002,251.70588239999998
2026-06-11,1605.9411765,1697.5294118000002,224.2352941,253.5294118
2026-06-12,1618.3888888999998,1719.8888888999998,222.8888889,252.22222219999998
2026-06-15,1618.3888888999998,1719.8888888999998,222.8888889,252.22222219999998
2026-06-16,1618.3888888999998,1719.8888888999998,222.8888889,252.22222219999998
2026-06-17,1618.3888888999998,1719.8888888999998,222.8888889,252.22222219999998
2026-06-18,1618.2222222,1723.5,223.22222219999998,252.0555556
2026-06-19,1618.2222222,1723.5,223.22222219999998,252.0555556
2026-06-22,1618.2222222,1723.5,223.22222219999998,252.0555556
2026-06-23,1618.2222222,1723.5,223.22222219999998,252.0555556
2026-06-24,1632.2352941,1746.0588235,226.94117649999998,257.4705882
2026-06-25,1632.2352941,1746.0588235,226.94117649999998,257.4705882
2026-06-26,1632.2352941,1746.0588235,226.94117649999998,257.4705882
2026-06-29,1632.2352941,1746.0588235,226.94117649999998,257.4705882
2026-06-30,1632.2352941,1746.0588235,226.94117649999998,257.4705882
2026-07-01,1632.2352941,1746.0588235,226.94117649999998,257.4705882
2026-07-02,1628.1176471,1770.1764706000001,225.1764706,257.4705882
2026-07-03,1628.1176471,1770.1764706000001,225.1764706,257.4705882
2026-07-06,1628.1176471,1770.1764706000001,225.1764706,257.4705882
2026-07-07,1624.8823529,1760.3529412,229.70588239999998,254.94117649999998
2026-07-08,1624.8823529,1760.3529412,229.70588239999998,254.94117649999998
2026-07-09,1624.8823529,1760.3529412,229.70588239999998,254.94117649999998
2026-07-10,1624.8823529,1760.3529412,229.70588239999998,254.94117649999998
2026-07-13,1652.0625,1782.875,235.3125,255.25
2026-07-14,1648.2,1768.4,235.6666667,254.26666670000003
2026-07-15,1638.5714286000002,1769.5,231.2857143,248.2857143
2026-07-16,1638.5714286000002,1769.5,231.2857143,248.2857143
