date,rev_eok,op_eok
2025-09-05,6548.615384600001,881.2307692
2025-09-08,6548.615384600001,881.2307692
2025-09-09,6540.1538462,879.6923077
2025-09-10,6540.1538462,879.6923077
2025-09-11,6515.857142899999,873.5714286
2025-09-12,6515.857142899999,873.5714286
2025-09-15,6515.857142899999,873.5714286
2025-09-16,6515.857142899999,873.5714286
2025-09-17,6431.6923077,869.2307692
2025-09-18,6431.6923077,869.2307692
2025-09-19,6431.6923077,869.2307692
2025-09-22,6431.6923077,869.2307692
2025-09-23,6431.6923077,869.2307692
2025-09-24,6431.6923077,869.2307692
2025-09-25,6431.6923077,869.2307692
2025-09-26,6360.1666667,868.3333332999999
2025-09-29,6360.1666667,868.3333332999999
2025-09-30,6360.1666667,868.3333332999999
2025-10-01,6360.1666667,868.3333332999999
2025-10-02,6373.5,872.5
2025-10-10,6376.75,869.75
2025-10-13,6488.8333333,875.75
2025-10-14,6527.363636399999,887.2727273
2025-10-15,6532.636363600001,897.3636364
2025-10-16,6532.636363600001,897.3636364
2025-10-17,6532.636363600001,897.3636364
2025-10-20,6536.8461538,901.8461537999999
2025-10-21,6536.8461538,901.8461537999999
2025-10-22,6536.8461538,901.8461537999999
2025-10-23,6536.8461538,901.8461537999999
2025-10-24,6536.8461538,901.8461537999999
2025-10-27,6545.0714286,901.4285714
2025-10-28,6545.0714286,901.4285714
2025-10-29,6545.0714286,901.4285714
2025-10-30,6545.0714286,901.4285714
2025-10-31,6545.0714286,901.4285714
2025-11-03,6545.0714286,901.4285714
2025-11-04,6545.0714286,901.4285714
2025-11-05,6566.6923077,913.1538462000001
2025-11-06,6566.6923077,913.1538462000001
2025-11-07,6566.6923077,913.1538462000001
2025-11-10,6247.0,870.3571429000001
2025-11-11,6219.4285714,865.2142856999999
2025-11-12,6219.4285714,865.2142856999999
2025-11-13,6219.4285714,865.2142856999999
2025-11-14,6204.1333333,860.8666667
2025-11-17,6189.25,864.5
2025-11-18,6189.25,864.5
2025-11-19,6185.7058824000005,864.7647059000001
2025-11-20,6185.7058824000005,864.7647059000001
2025-11-21,6185.7058824000005,864.7647059000001
2025-11-24,6185.7058824000005,864.7647059000001
2025-11-25,6185.7058824000005,864.7647059000001
2025-11-26,6185.7058824000005,864.7647059000001
2025-11-27,6185.7058824000005,864.7647059000001
2025-11-28,6185.7058824000005,864.7647059000001
2025-12-01,6185.7058824000005,864.7647059000001
2025-12-02,6185.7058824000005,864.7647059000001
2025-12-03,6185.7058824000005,864.7647059000001
2025-12-04,6185.7058824000005,864.7647059000001
2025-12-05,6185.7058824000005,864.7647059000001
2025-12-08,6194.470588200001,865.0
2025-12-09,6194.470588200001,865.0
2025-12-10,6194.470588200001,865.0
2025-12-11,6194.470588200001,865.0
2025-12-12,6194.470588200001,865.0
2025-12-15,6194.470588200001,865.0
2025-12-16,6194.470588200001,865.0
2025-12-17,6194.470588200001,865.0
2025-12-18,6194.470588200001,865.0
2025-12-19,6194.470588200001,865.0
2025-12-22,6194.470588200001,865.0
