month,brand,keyword,searches
2020-01,beauty of joseon,beauty of joseon,170
2020-02,beauty of joseon,beauty of joseon,260
2020-03,beauty of joseon,beauty of joseon,210
2020-04,beauty of joseon,beauty of joseon,590
2020-05,beauty of joseon,beauty of joseon,590
2020-06,beauty of joseon,beauty of joseon,590
2020-07,beauty of joseon,beauty of joseon,1000
2020-08,beauty of joseon,beauty of joseon,1000
2020-09,beauty of joseon,beauty of joseon,1000
2020-10,beauty of joseon,beauty of joseon,1000
2020-11,beauty of joseon,beauty of joseon,2900
2020-12,beauty of joseon,beauty of joseon,1900
2021-01,beauty of joseon,beauty of joseon,2400
2021-02,beauty of joseon,beauty of joseon,2400
2021-03,beauty of joseon,beauty of joseon,2400
2021-04,beauty of joseon,beauty of joseon,1900
2021-05,beauty of joseon,beauty of joseon,1900
2021-06,beauty of joseon,beauty of joseon,1900
2021-07,beauty of joseon,beauty of joseon,2400
2021-08,beauty of joseon,beauty of joseon,2400
2021-09,beauty of joseon,beauty of joseon,1600
2021-10,beauty of joseon,beauty of joseon,2400
2021-11,beauty of joseon,beauty of joseon,3600
2021-12,beauty of joseon,beauty of joseon,5400
2022-01,beauty of joseon,beauty of joseon,6600
2022-02,beauty of joseon,beauty of joseon,8100
2022-03,beauty of joseon,beauty of joseon,8100
2022-04,beauty of joseon,beauty of joseon,14800
2022-05,beauty of joseon,beauty of joseon,18100
2022-06,beauty of joseon,beauty of joseon,22200
2022-07,beauty of joseon,beauty of joseon,27100
2022-08,beauty of joseon,beauty of joseon,27100
2022-09,beauty of joseon,beauty of joseon,22200
2022-10,beauty of joseon,beauty of joseon,22200
2022-11,beauty of joseon,beauty of joseon,27100
2022-12,beauty of joseon,beauty of joseon,33100
2023-01,beauty of joseon,beauty of joseon,60500
2023-02,beauty of joseon,beauty of joseon,49500
2023-03,beauty of joseon,beauty of joseon,60500
2023-04,beauty of joseon,beauty of joseon,74000
2023-05,beauty of joseon,beauty of joseon,74000
2023-06,beauty of joseon,beauty of joseon,74000
2023-07,beauty of joseon,beauty of joseon,74000
2023-08,beauty of joseon,beauty of joseon,74000
2023-09,beauty of joseon,beauty of joseon,60500
2023-10,beauty of joseon,beauty of joseon,49500
2023-11,beauty of joseon,beauty of joseon,74000
2023-12,beauty of joseon,beauty of joseon,74000
2024-01,beauty of joseon,beauty of joseon,110000
2024-02,beauty of joseon,beauty of joseon,90500
2024-03,beauty of joseon,beauty of joseon,110000
2024-04,beauty of joseon,beauty of joseon,110000
2024-05,beauty of joseon,beauty of joseon,110000
2024-06,beauty of joseon,beauty of joseon,135000
2024-07,beauty of joseon,beauty of joseon,135000
2024-08,beauty of joseon,beauty of joseon,110000
2024-09,beauty of joseon,beauty of joseon,90500
2024-10,beauty of joseon,beauty of joseon,110000
2024-11,beauty of joseon,beauty of joseon,135000
2024-12,beauty of joseon,beauty of joseon,110000
2025-01,beauty of joseon,beauty of joseon,110000
2025-02,beauty of joseon,beauty of joseon,110000
2025-03,beauty of joseon,beauty of joseon,135000
2025-04,beauty of joseon,beauty of joseon,135000
2025-05,beauty of joseon,beauty of joseon,135000
2025-06,beauty of joseon,beauty of joseon,135000
2025-07,beauty of joseon,beauty of joseon,110000
2025-08,beauty of joseon,beauty of joseon,110000
