date,keyword,value
2023-10-15,centellian24,0
2023-10-15,madeca cream,0
2023-10-22,centellian24,0
2023-10-22,madeca cream,0
2023-10-29,centellian24,0
2023-10-29,madeca cream,0
2023-11-05,centellian24,0
2023-11-05,madeca cream,0
2023-11-12,centellian24,0
2023-11-12,madeca cream,0
2023-11-19,centellian24,0
2023-11-19,madeca cream,0
2023-11-26,centellian24,0
2023-11-26,madeca cream,0
2023-12-03,centellian24,0
2023-12-03,madeca cream,0
2023-12-10,centellian24,0
2023-12-10,madeca cream,0
2023-12-17,centellian24,0
2023-12-17,madeca cream,0
2023-12-24,centellian24,0
2023-12-24,madeca cream,0
2023-12-31,centellian24,0
2023-12-31,madeca cream,0
2024-01-07,centellian24,0
2024-01-07,madeca cream,0
2024-01-14,centellian24,0
2024-01-14,madeca cream,0
2024-01-21,centellian24,0
2024-01-21,madeca cream,0
2024-01-28,centellian24,0
2024-01-28,madeca cream,0
2024-02-04,centellian24,0
2024-02-04,madeca cream,0
2024-02-11,centellian24,0
2024-02-11,madeca cream,0
2024-02-18,centellian24,0
2024-02-18,madeca cream,0
2024-02-25,centellian24,0
2024-02-25,madeca cream,0
2024-03-03,centellian24,0
2024-03-03,madeca cream,0
2024-03-10,centellian24,0
2024-03-10,madeca cream,0
2024-03-17,centellian24,0
2024-03-17,madeca cream,0
2024-03-24,centellian24,0
2024-03-24,madeca cream,0
2024-03-31,centellian24,0
2024-03-31,madeca cream,0
2024-04-07,centellian24,0
2024-04-07,madeca cream,0
2024-04-14,centellian24,0
2024-04-14,madeca cream,0
2024-04-21,centellian24,0
2024-04-21,madeca cream,0
2024-04-28,centellian24,0
2024-04-28,madeca cream,0
2024-05-05,centellian24,0
2024-05-05,madeca cream,0
2024-05-12,centellian24,0
2024-05-12,madeca cream,0
2024-05-19,centellian24,0
2024-05-19,madeca cream,0
2024-05-26,centellian24,0
2024-05-26,madeca cream,0
2024-06-02,centellian24,0
2024-06-02,madeca cream,0
2024-06-09,centellian24,0
2024-06-09,madeca cream,0
2024-06-16,centellian24,0
2024-06-16,madeca cream,0
2024-06-23,centellian24,0
2024-06-23,madeca cream,0
2024-06-30,centellian24,0
2024-06-30,madeca cream,0
2024-07-07,centellian24,0
2024-07-07,madeca cream,0
2024-07-14,centellian24,0
2024-07-14,madeca cream,0
2024-07-21,centellian24,0
2024-07-21,madeca cream,0
2024-07-28,centellian24,0
2024-07-28,madeca cream,0
2024-08-04,centellian24,0
2024-08-04,madeca cream,0
2024-08-11,centellian24,0
2024-08-11,madeca cream,0
2024-08-18,centellian24,0
2024-08-18,madeca cream,0
2024-08-25,centellian24,0
2024-08-25,madeca cream,0
2024-09-01,centellian24,0
2024-09-01,madeca cream,0
2024-09-08,centellian24,0
2024-09-08,madeca cream,0
2024-09-15,centellian24,0
2024-09-15,madeca cream,0
2024-09-22,centellian24,0
2024-09-22,madeca cream,0
2024-09-29,centellian24,0
2024-09-29,madeca cream,0
2024-10-06,centellian24,0
2024-10-06,madeca cream,0
2024-10-13,centellian24,0
2024-10-13,madeca cream,0
2024-10-20,centellian24,0
2024-10-20,madeca cream,0
2024-10-27,centellian24,0
2024-10-27,madeca cream,14
2024-11-03,centellian24,0
2024-11-03,madeca cream,0
2024-11-10,centellian24,0
2024-11-10,madeca cream,0
2024-11-17,centellian24,0
2024-11-17,madeca cream,0
2024-11-24,centellian24,0
2024-11-24,madeca cream,0
2024-12-01,centellian24,0
2024-12-01,madeca cream,0
2024-12-08,centellian24,0
2024-12-08,madeca cream,0
2024-12-15,centellian24,0
2024-12-15,madeca cream,0
2024-12-22,centellian24,0
2024-12-22,madeca cream,0
2024-12-29,centellian24,0
2024-12-29,madeca cream,0
2025-01-05,centellian24,0
2025-01-05,madeca cream,0
2025-01-12,centellian24,0
2025-01-12,madeca cream,0
2025-01-19,centellian24,0
2025-01-19,madeca cream,0
2025-01-26,centellian24,0
2025-01-26,madeca cream,0
2025-02-02,centellian24,0
2025-02-02,madeca cream,0
2025-02-09,centellian24,0
2025-02-09,madeca cream,0
2025-02-16,centellian24,0
2025-02-16,madeca cream,0
2025-02-23,centellian24,0
2025-02-23,madeca cream,0
2025-03-02,centellian24,0
2025-03-02,madeca cream,0
2025-03-09,centellian24,0
2025-03-09,madeca cream,0
2025-03-16,centellian24,0
2025-03-16,madeca cream,0
2025-03-23,centellian24,0
2025-03-23,madeca cream,0
2025-03-30,centellian24,0
2025-03-30,madeca cream,0
2025-04-06,centellian24,0
2025-04-06,madeca cream,0
2025-04-13,centellian24,0
2025-04-13,madeca cream,13
2025-04-20,centellian24,0
2025-04-20,madeca cream,0
2025-04-27,centellian24,0
2025-04-27,madeca cream,0
2025-05-04,centellian24,0
2025-05-04,madeca cream,0
2025-05-11,centellian24,0
2025-05-11,madeca cream,0
2025-05-18,centellian24,0
2025-05-18,madeca cream,0
2025-05-25,centellian24,0
2025-05-25,madeca cream,0
2025-06-01,centellian24,0
2025-06-01,madeca cream,0
2025-06-08,centellian24,0
2025-06-08,madeca cream,0
2025-06-15,centellian24,0
2025-06-15,madeca cream,0
2025-06-22,centellian24,0
2025-06-22,madeca cream,0
2025-06-29,centellian24,0
2025-06-29,madeca cream,0
2025-07-06,centellian24,0
2025-07-06,madeca cream,17
2025-07-13,centellian24,0
2025-07-13,madeca cream,16
2025-07-20,centellian24,0
2025-07-20,madeca cream,27
2025-07-27,centellian24,0
2025-07-27,madeca cream,0
2025-08-03,centellian24,0
2025-08-03,madeca cream,12
2025-08-10,centellian24,0
2025-08-10,madeca cream,17
2025-08-17,centellian24,0
2025-08-17,madeca cream,13
2025-08-24,centellian24,0
2025-08-24,madeca cream,29
2025-08-31,centellian24,0
2025-08-31,madeca cream,58
2025-09-07,centellian24,0
2025-09-07,madeca cream,40
2025-09-14,centellian24,0
2025-09-14,madeca cream,22
2025-09-21,centellian24,0
2025-09-21,madeca cream,29
2025-09-28,centellian24,0
2025-09-28,madeca cream,40
2025-10-05,centellian24,0
2025-10-05,madeca cream,27
2025-10-12,centellian24,0
2025-10-12,madeca cream,25
2025-10-19,centellian24,0
2025-10-19,madeca cream,32
2025-10-26,centellian24,0
2025-10-26,madeca cream,34
2025-11-02,centellian24,0
2025-11-02,madeca cream,36
2025-11-09,centellian24,0
2025-11-09,madeca cream,36
2025-11-16,centellian24,0
2025-11-16,madeca cream,57
2025-11-23,centellian24,0
2025-11-23,madeca cream,73
2025-11-30,centellian24,0
2025-11-30,madeca cream,94
2025-12-07,centellian24,0
2025-12-07,madeca cream,60
2025-12-14,centellian24,12
