date,evs,eve,ebitda,per,pbr,fcf
2016-08-31,1.6447,10.9287,9.6852,15.6122,2.5568,18.689
2016-09-30,1.5636,10.39,9.2079,14.9377,2.4463,17.7678
2016-10-31,1.3444,8.9337,7.9172,13.1142,2.1477,15.2773
2016-11-30,1.2542,8.3689,7.4398,11.9733,2.0146,13.3281
2016-12-31,1.4143,9.437,8.3893,13.2422,2.2281,15.0291
2017-01-31,1.3706,9.1457,8.1304,12.8961,2.1699,14.5652
2017-02-28,1.4376,9.5924,8.5274,13.4267,2.2592,15.2766
2017-03-31,1.5539,10.2551,9.1354,13.9217,2.3852,17.0845
2017-04-30,1.6504,10.892,9.7027,14.6567,2.5112,18.1455
2017-05-31,1.5944,10.6112,9.4374,14.8503,2.4802,22.414
2017-06-30,1.4545,9.68,8.6091,13.7414,2.295,20.4469
2017-07-31,1.3722,9.1322,8.1219,13.0891,2.1861,19.2897
2017-08-31,1.3031,9.2845,8.167,13.0084,2.0729,25.3514
2017-09-30,1.2712,9.0572,7.9671,12.7447,2.0309,24.7308
2017-10-31,1.3775,9.8148,8.6336,13.6237,2.171,26.7996
2017-11-30,1.3621,9.8827,8.6103,14.2693,2.1491,32.1277
2017-12-31,1.4031,10.1808,8.8701,14.6387,2.2047,33.0968
2018-01-31,1.5829,11.4851,10.0064,16.255,2.4481,37.3367
2018-02-28,1.511,10.9634,9.5518,15.6085,2.3508,35.6407
2018-03-31,1.5015,10.3869,9.0853,15.4922,2.3245,73.3057
2018-04-30,1.5114,10.4555,9.1452,15.581,2.3378,73.7895
2018-05-31,1.2709,8.8224,7.6842,13.4064,2.0874,23.1526
2018-06-30,1.2877,8.9388,7.7856,13.554,2.1104,23.4581
2018-07-31,1.2518,8.6893,7.5683,13.2378,2.0611,22.8034
2018-08-31,1.3754,9.3827,8.1745,14.2079,2.188,20.1675
2018-09-30,1.2894,8.7964,7.6637,13.4494,2.0712,18.9072
2018-10-31,1.0548,7.1959,6.2692,11.3787,1.7523,15.467
2018-11-30,1.1615,7.6875,6.7319,11.8296,1.7985,41.0843
2018-12-31,1.0808,7.1529,6.2638,11.1371,1.6933,38.2277
2019-01-31,1.0471,6.9302,6.0688,10.8486,1.6494,37.0375
2019-02-28,1.0718,7.0936,6.2118,11.0602,1.6816,37.9103
2019-03-31,1.1689,8.7823,7.5031,11.0209,1.6419,
2019-04-30,1.1513,8.6505,7.3905,10.87,1.6194,
2019-05-31,1.0969,8.3158,7.0195,10.571,1.6024,
2019-06-30,1.0969,8.3158,7.0195,10.571,1.6024,
2019-07-31,1.2712,9.6371,8.1348,12.0734,1.8302,
2019-08-31,1.1832,9.0306,7.5376,11.5472,1.729,
2019-09-30,1.1288,8.6154,7.191,11.0705,1.6576,
2019-10-31,1.2658,9.661,8.0638,12.2711,1.8374,
2019-11-30,1.3211,10.1584,8.3847,12.6167,1.9201,
2019-12-31,1.5754,12.1138,9.9988,14.8109,2.254,
2020-01-31,1.5542,11.9509,9.8643,14.6281,2.2262,
2020-02-29,1.4694,11.2991,9.3263,13.8967,2.1149,
2020-03-31,1.2679,8.9976,7.4958,12.3412,1.8841,13.8338
2020-04-30,1.5704,11.1446,9.2845,14.9778,2.2866,17.1348
2020-05-31,1.5405,10.6228,8.9029,14.2836,2.2793,19.5004
2020-06-30,1.9674,13.5666,11.37,17.8989,2.8562,24.9043
2020-07-31,2.4205,16.6913,13.9888,21.7366,3.4685,30.6403
2020-08-31,2.4603,16.8842,14.1752,21.9494,3.4474,80.3949
2020-09-30,2.218,15.2211,12.779,19.8649,3.12,72.476
2020-10-31,1.952,13.3957,11.2465,17.577,2.7606,63.7845
2020-11-30,1.9145,12.5781,10.6797,18.0608,2.8015,40.3511
2020-12-31,2.205,14.4864,12.3,20.5957,3.1947,46.4731
2021-01-31,2.3583,15.4936,13.1552,21.9335,3.4022,49.7042
2021-02-28,2.1566,14.1684,12.0299,20.1732,3.1292,45.4528
2021-03-31,2.0882,14.0576,11.8935,22.3821,2.9942,49.47
2021-04-30,2.1157,14.2428,12.0502,22.6619,3.0316,50.1217
2021-05-31,2.1152,14.5322,12.2728,23.6259,3.0274,92.4496
2021-06-30,2.0691,14.2157,12.0055,23.1337,2.9643,90.4361
2021-07-31,1.8387,12.6331,10.669,20.6727,2.649,80.3683
2021-08-31,1.7616,12.8289,10.7336,20.954,2.5173,31.5234
2021-09-30,1.6496,12.0129,10.0509,19.6763,2.3638,29.5185
2021-10-31,1.601,11.6594,9.7551,19.1227,2.2973,28.6496
2021-11-30,1.4274,12.4141,9.9242,19.939,1.9664,126.8087
2021-12-31,1.5925,13.8496,11.0718,22.177,2.1871,141.473
2022-01-31,1.4574,12.6751,10.1329,20.3459,2.0065,129.475
2022-02-28,1.54,13.3929,10.7067,21.4649,2.1168,136.8071
2022-03-31,1.5528,14.3608,11.3062,19.0941,2.0804,
2022-04-30,1.6268,15.0448,11.8448,19.9822,2.1772,
2022-05-31,1.5626,14.1326,11.1797,19.2274,2.0849,
2022-06-30,1.3878,12.5516,9.9291,17.0764,1.8517,
2022-07-31,1.3735,12.4226,9.827,16.9008,1.8326,
2022-08-31,1.2983,11.2559,8.9637,14.9115,1.7074,
2022-09-30,1.1381,9.8671,7.8577,13.0626,1.4957,
2022-10-31,1.0998,9.5349,7.5932,12.6205,1.4451,
2022-11-30,1.1,9.7439,7.7595,12.0258,1.4249,
2022-12-31,1.151,10.1961,8.1197,12.5949,1.4923,
2023-01-31,1.1789,10.4433,8.3165,12.9059,1.5292,
2023-02-28,1.1197,9.9187,7.8988,12.2458,1.451,
2023-03-31,1.0539,9.503,7.5332,13.1445,1.3628,
2023-04-30,1.0207,9.2034,7.2957,12.7219,1.319,
2023-05-31,1.0478,10.2811,7.9994,13.0419,1.3316,
2023-06-30,0.9679,9.4973,7.3895,12.0083,1.2261,
2023-07-31,0.9264,9.0894,7.0721,11.4705,1.1712,
2023-08-31,0.9373,10.5127,7.9314,13.3742,1.1877,
2023-09-30,0.9875,11.075,8.3556,14.123,1.2541,
2023-10-31,1.0643,11.9361,9.0053,15.2699,1.356,
2023-11-30,0.954,10.5495,8.0223,13.6157,1.1891,
2023-12-31,1.0593,11.7143,8.908,15.2164,1.3289,
2024-01-31,1.1677,12.9134,9.8198,16.8642,1.4729,
2024-02-29,1.081,11.9541,9.0904,15.546,1.3577,
2024-03-31,1.0612,11.7579,8.909,15.8104,1.3472,
2024-04-30,1.0492,11.6246,8.808,15.6209,1.331,
2024-05-31,1.1856,13.0947,9.8037,16.9391,1.524,
2024-06-30,1.1491,12.6917,9.502,16.3938,1.4749,
2024-07-31,1.0902,12.0417,9.0153,15.5143,1.3958,
2024-08-31,1.1348,11.7326,8.8132,14.9202,1.4319,
2024-09-30,1.0641,11.0014,8.264,13.9108,1.3351,
2024-10-31,1.1245,11.6256,8.7328,14.7725,1.4178,
2024-11-30,1.0058,9.5065,7.2115,12.0054,1.2606,
2024-12-31,1.0041,9.4907,7.1996,11.9836,1.2583,
2025-01-31,0.9267,8.7587,6.6442,10.9753,1.1525,
2025-02-28,0.9501,8.9799,6.812,11.28,1.1845,
2025-03-31,0.8757,8.6291,6.4141,10.6766,1.0651,26.3391
2025-04-30,0.9117,8.9844,6.6782,11.1078,1.1082,27.4237
2025-05-31,0.9646,9.5637,7.1042,13.0856,1.2356,30.8108
2025-06-30,0.9847,9.763,7.2523,13.3786,1.2633,31.4529
2025-07-31,1.0651,10.5604,7.8445,14.5507,1.374,34.0216
2025-08-31,0.9156,9.1585,6.7945,12.6232,1.2042,25.4997
2025-09-30,1.0132,10.1344,7.5186,14.0439,1.3397,28.217
2025-10-31,0.9519,9.5213,7.0637,13.1513,1.2546,26.5098
2025-11-30,0.9982,10.1402,7.4873,13.7749,1.2888,22.4002
2025-12-31,0.9197,9.3429,6.8986,12.6196,1.1807,20.6389
2026-01-31,1.0017,10.1757,7.5135,13.8264,1.2936,22.4787
2026-02-28,1.0822,10.9933,8.1172,15.0111,1.4045,24.2849
2026-03-31,1.2016,12.0035,8.946,16.0,1.604,60.6897
2026-04-30,1.2162,12.1494,9.0547,16.2034,1.6243,61.4271
2026-05-31,0.9833,9.7146,7.2643,11.8496,1.3063,37.5645
2026-06-30,0.9597,9.481,7.0897,11.5484,1.2731,36.6615
2026-07-31,0.8808,8.701,6.5064,10.5423,1.1622,33.6454
2026-08-18,0.9857,9.7379,7.2818,11.8797,1.3096,37.6548
