date,evs,eve,ebitda,per,pbr,fcf
2016-08-31,3.2084,27.9282,24.1554,37.3819,7.736,
2016-09-30,3.4305,29.8616,25.8275,39.9543,8.2683,
2016-10-31,2.9003,25.2464,21.8358,33.8139,6.9976,
2016-11-30,2.2688,20.8825,18.0351,28.9231,5.5873,
2016-12-31,2.2144,20.3821,17.603,28.2365,5.4547,
2017-01-31,2.3333,21.4766,18.5483,29.7385,5.7448,
2017-02-28,2.5848,23.7908,20.5469,32.914,6.3583,
2017-03-31,2.4479,22.3062,19.2021,30.4172,5.8717,
2017-04-30,2.6122,23.8042,20.4916,32.5233,6.2783,
2017-05-31,2.6533,25.0174,21.2151,33.5442,6.5402,
2017-06-30,2.2666,21.3713,18.1232,28.3593,5.5293,
2017-07-31,2.2314,21.0399,17.8421,27.888,5.4374,
2017-08-31,2.0565,21.602,17.6934,28.5431,5.1088,
2017-09-30,2.2775,23.9232,19.5946,31.864,5.7032,
2017-10-31,2.4738,25.985,21.2834,34.8066,6.2299,
2017-11-30,2.4794,27.2672,21.7585,34.8102,6.2058,
2017-12-31,2.3616,25.9718,20.7248,33.0375,5.8897,
2018-01-31,2.5624,28.1799,22.4868,36.0592,6.4284,
2018-02-28,2.2438,24.6763,19.691,31.2647,5.5737,
2018-03-31,2.1801,26.7435,20.7877,35.4839,5.4018,
2018-04-30,2.2751,27.9093,21.6939,37.1649,5.6577,
2018-05-31,2.1117,28.3162,21.5946,36.4166,5.2051,
2018-06-30,2.2928,30.7436,23.4458,39.9119,5.7047,
2018-07-31,1.894,25.3967,19.3681,32.2129,4.6043,
2018-08-31,3.0162,42.5885,31.4393,33.1084,4.7652,
2018-09-30,3.0272,42.7439,31.554,33.3312,4.7973,
2018-10-31,2.574,36.3443,26.8297,24.1518,3.4761,
2018-11-30,2.3767,44.2319,29.1106,44.9041,3.6098,
2018-12-31,2.4141,44.9269,29.568,46.2151,3.7152,
2019-01-31,2.3525,43.7802,28.8133,44.0519,3.5413,
2019-02-28,2.5765,47.9499,31.5576,51.9183,4.1737,
2019-03-31,2.2826,34.453,23.4844,41.4368,4.0579,
2019-04-30,2.1904,33.0619,22.5362,38.5216,3.7724,
2019-05-31,1.8541,26.7501,17.9518,32.6381,3.1628,
2019-06-30,1.8108,26.1251,17.5324,31.1428,3.0179,
2019-07-31,1.7559,25.333,17.0009,28.5648,2.7681,
2019-08-31,1.506,19.8681,13.5407,23.6139,2.0954,41.5445
2019-09-30,1.4882,19.6337,13.381,22.961,2.0374,41.0545
2019-10-31,1.5763,20.7957,14.1729,26.1983,2.3247,43.4843
2019-11-30,1.6143,19.0724,13.2353,22.6594,2.2678,31.4185
2019-12-31,1.6129,19.0548,13.2231,22.6116,2.263,31.3894
2020-01-31,1.5381,18.1721,12.6105,20.2188,2.0235,29.9353
2020-02-29,1.5187,17.9426,12.4513,19.5967,1.9613,29.5573
2020-03-31,1.4455,18.9044,12.4839,29.3495,1.8179,21.9731
2020-04-30,1.5235,19.924,13.1573,33.4639,2.0728,23.1582
2020-05-31,1.5633,20.6913,13.3737,36.1722,2.0735,27.3509
2020-06-30,1.5529,20.5532,13.2844,35.5875,2.04,27.1683
2020-07-31,1.6147,21.3718,13.8135,39.0543,2.2387,28.2503
2020-08-31,1.6795,22.7804,14.2349,45.3936,2.1548,43.1848
2020-09-30,1.6856,22.8639,14.287,45.79,2.1736,43.3431
2020-10-31,1.6526,22.4151,14.0066,43.6591,2.0724,42.4922
2020-11-30,1.6661,22.349,14.0601,35.4246,2.0619,52.9579
2020-12-31,1.7572,23.5709,14.8287,40.0692,2.3322,55.8531
2021-01-31,1.7664,23.6951,14.9069,40.5415,2.3597,56.1476
2021-02-28,1.8591,24.9377,15.6886,45.2648,2.6346,59.0919
2021-03-31,1.8423,20.0176,13.2797,9.0959,2.1058,34.4011
2021-04-30,1.8164,19.7356,13.0925,8.8582,2.0508,33.9164
2021-05-31,1.8269,20.6684,14.0514,9.172,2.1674,45.2415
2021-06-30,1.8004,20.3691,13.8479,8.9258,2.1092,44.5864
2021-07-31,1.7492,19.7893,13.4537,8.4487,1.9965,43.3172
2021-08-31,1.5652,19.8261,13.5337,7.0789,1.7307,79.8413
2021-09-30,1.507,19.0891,13.0306,6.5287,1.5962,76.8732
2021-10-31,1.5094,19.1186,13.0507,6.5508,1.6016,76.992
2021-11-30,1.3017,18.1811,12.1695,5.4483,1.24,55.6414
2021-12-31,1.3502,18.8586,12.6231,5.9268,1.3489,57.715
2022-01-31,1.2673,17.7016,11.8486,5.1096,1.1629,54.1739
2022-02-28,1.4375,20.0783,13.4394,6.7882,1.5449,61.4474
2022-03-31,1.3592,25.8579,15.2103,27.7955,1.456,
2022-04-30,1.4097,26.8183,15.7753,30.0319,1.5732,
2022-05-31,1.3507,30.1043,16.2375,28.5177,1.3995,
2022-06-30,1.2992,28.9579,15.6191,26.0587,1.2789,
2022-07-31,1.3092,29.1808,15.7394,26.5369,1.3023,
2022-08-31,1.243,24.9724,14.1609,24.8112,1.2579,136.4607
2022-09-30,1.2383,24.8773,14.1069,24.5848,1.2464,135.9409
2022-10-31,1.1876,23.8581,13.529,22.1586,1.1234,130.3717
2022-11-30,1.3926,27.537,15.3325,29.8077,1.2708,
2022-12-31,1.4419,28.5107,15.8746,32.7692,1.397,
2023-01-31,1.4655,28.9785,16.1351,34.1923,1.4577,
2023-02-28,1.4176,28.0301,15.6071,31.3077,1.3347,
2023-03-31,1.3579,35.1375,17.1731,,1.4436,57.6519
2023-04-30,1.3401,34.6773,16.9482,,1.3937,56.8969
2023-05-31,1.2766,34.4767,16.0163,,1.3128,57.1352
2023-06-30,1.3519,36.5122,16.9619,,1.5363,60.5086
2023-07-31,1.4032,37.8958,17.6046,,1.6882,62.8014
2023-08-31,1.4716,31.6056,16.2334,,1.9082,
2023-09-30,1.3965,29.9916,15.4044,,1.687,
2023-10-31,1.4245,30.5939,15.7137,,1.7696,
2023-11-30,1.3204,25.1942,13.727,243.3333,1.5414,46.4699
2023-12-31,1.388,26.4833,14.4294,274.8718,1.7412,48.8475
2024-01-31,1.3353,25.4772,13.8812,250.2564,1.5853,46.9918
