date,evs,eve,ebitda,per,pbr
2025-07-31,4.2317,78.4467,31.4342,67.5976,3.2499
2025-08-31,4.5859,47.6005,26.2182,56.6072,3.8341
2025-09-30,4.3996,45.6662,25.1529,54.4343,3.6869
2025-10-31,4.1033,42.5913,23.4592,50.9799,3.4529
2025-11-30,2.2473,18.6576,12.2139,23.8805,2.3611
2025-12-31,2.422,20.1081,13.1635,25.5363,2.5248
2026-01-31,2.6278,21.8165,14.2819,27.4864,2.7177
2026-02-28,2.6006,21.5909,14.1342,27.2289,2.6922
2026-03-31,1.5488,15.9145,10.1418,26.6097,1.9105
2026-04-30,1.5862,16.2989,10.3868,27.163,1.9502
2026-05-31,1.1513,10.2048,7.0452,22.6733,1.6133
2026-06-30,1.059,9.3862,6.48,21.1736,1.5066
2026-07-31,0.9494,8.4149,5.8094,19.3943,1.38
2026-08-12,1.1106,9.8441,6.7961,22.0124,1.5663
