date,evs,eve,ebitda,per,pbr
2016-08-31,5.2849,26.1218,23.6173,43.2629,6.6056
2016-09-30,5.2763,26.0792,23.5787,43.1976,6.5957
2016-10-31,4.5089,22.2862,20.1494,37.3901,5.7089
2016-11-30,4.1611,18.9342,17.3448,32.7652,5.2296
2016-12-31,3.909,17.7872,16.2941,30.9844,4.9454
2017-01-31,3.5225,16.0284,14.6829,28.254,4.5096
2017-02-28,3.7914,17.2519,15.8037,30.1534,4.8127
2017-03-31,3.4979,15.3641,14.1436,21.7466,4.3653
2017-04-30,4.0706,17.8794,16.4591,24.8076,4.9797
2017-05-31,4.5708,19.1685,17.7726,26.7407,5.5085
2017-06-30,4.7806,20.0481,18.5881,27.833,5.7336
2017-07-31,4.7974,20.1185,18.6533,27.9204,5.7516
2017-08-31,3.9221,15.7949,14.7711,21.7926,4.8159
2017-09-30,3.9609,15.9509,14.917,21.9814,4.8577
2017-10-31,4.8829,19.6639,18.3894,26.4759,5.8509
2017-11-30,5.0605,20.9493,19.6483,19.9913,6.1258
2017-12-31,6.2903,26.0403,24.423,24.3564,7.4634
2018-01-31,6.6323,27.4561,25.7509,25.5703,7.8354
2018-02-28,7.1271,29.5045,27.6721,27.3266,8.3736
2018-03-31,7.477,28.5183,26.9925,36.9202,8.8762
2018-04-30,7.3825,28.1578,26.6513,36.4873,8.7722
2018-05-31,6.5296,24.1204,22.9418,32.1989,8.2311
2018-06-30,5.9976,22.1551,21.0725,29.7925,7.6159
2018-07-31,6.1369,22.6698,21.5621,30.4228,7.777
2018-08-31,5.4897,20.346,19.4034,27.6328,6.8609
2018-09-30,5.5378,20.5243,19.5733,27.8521,6.9153
2018-10-31,3.9687,14.7089,14.0274,20.6972,5.1389
2018-11-30,5.0986,18.7408,17.8922,26.0417,6.3838
2018-12-31,4.5882,16.8647,16.101,23.6982,5.8093
2019-01-31,4.5366,16.675,15.9199,23.4612,5.7512
2019-02-28,4.9323,18.1295,17.3086,25.2781,6.1966
2019-03-31,5.8249,20.1467,19.3055,27.4884,7.0522
2019-04-30,5.2785,18.2568,17.4945,25.1628,6.4555
2019-05-31,4.7531,16.6815,15.991,23.1678,6.0794
2019-06-30,5.4062,18.9737,18.1883,23.5751,6.1863
2019-07-31,4.4177,15.5044,14.8626,19.6836,5.1651
2019-08-31,3.8144,13.2923,12.6796,19.5016,3.6997
2019-09-30,4.5454,15.8396,15.1094,22.4538,4.2598
2019-10-31,4.1559,14.4823,13.8147,20.8807,3.9614
2019-11-30,3.6496,12.5833,12.0017,19.339,3.6999
2019-12-31,3.7626,12.9728,12.3732,19.8102,3.7901
2020-01-31,3.0062,10.3648,9.8857,16.6553,3.1865
2020-02-29,2.3087,7.96,7.5921,13.7463,2.6299
2020-03-31,1.4951,5.4203,5.1492,10.3184,1.9423
2020-04-30,1.932,7.0041,6.6538,12.1462,2.2864
2020-05-31,2.4999,9.01,8.519,14.4546,2.7666
2020-06-30,2.0932,7.5441,7.133,12.7838,2.4468
2020-07-31,1.9513,7.0327,6.6495,12.201,2.3353
2020-08-31,1.6982,6.2718,5.9173,11.2534,2.0252
2020-09-30,1.7029,6.2893,5.9338,11.2732,2.0288
2020-10-31,1.5657,5.7824,5.4555,10.6986,1.9254
2020-11-30,1.683,6.5385,6.1215,11.951,1.9688
2020-12-31,1.7023,6.6132,6.1914,12.0353,1.9827
2021-01-31,1.9232,7.4715,6.9949,13.0049,2.1424
2021-02-28,2.0721,8.05,7.5365,13.6583,2.2501
2021-03-31,2.0889,7.7851,7.2881,14.6124,2.2289
2021-04-30,2.1943,8.1779,7.6558,15.0915,2.302
2021-05-31,2.3234,8.8912,8.327,16.2168,2.4971
2021-06-30,2.0621,7.8911,7.3904,14.9957,2.3091
2021-07-31,1.7549,6.7156,6.2895,13.5604,2.0881
2021-08-31,1.7712,6.5643,6.1627,13.6645,2.0034
2021-09-30,1.4594,5.4087,5.0777,12.1849,1.7865
2021-10-31,1.3401,4.9668,4.6629,11.6191,1.7035
2021-11-30,0.9907,3.7681,3.5383,10.0323,1.451
2021-12-31,1.1259,4.2821,4.0209,10.6781,1.5444
2022-01-31,0.9637,3.6653,3.4417,9.9031,1.4323
2022-02-28,1.1664,4.4363,4.1657,10.8719,1.5724
2022-03-31,1.0574,4.1452,3.8853,11.1482,1.5155
2022-04-30,1.1375,4.459,4.1795,11.5455,1.5695
2022-05-31,0.8511,3.3675,3.1493,10.779,1.4043
2022-06-30,0.5556,2.1981,2.0557,9.2524,1.2054
2022-07-31,0.6138,2.4285,2.2711,9.5531,1.2446
2022-08-31,0.542,2.2659,2.1086,8.8023,1.1369
2022-09-30,0.3005,1.2561,1.1689,7.5867,0.9799
2022-10-31,0.3362,1.4057,1.3081,7.7668,1.0032
2022-11-30,0.4661,1.8733,1.7443,7.9515,1.0478
2022-12-31,0.5247,2.1086,1.9635,8.2301,1.0845
2023-01-31,0.6283,2.525,2.3512,8.7231,1.1495
2023-02-28,0.4643,1.866,1.7376,7.9429,1.0467
2023-03-31,0.3423,1.3576,1.2624,8.3509,0.9998
2023-04-30,0.2797,1.1096,1.0318,8.0386,0.9624
2023-05-31,0.4623,1.8014,1.6776,8.354,1.1016
2023-06-30,0.9835,3.8324,3.5692,10.732,1.4151
2023-07-31,0.7796,3.0377,2.829,9.8015,1.2924
2023-08-31,1.0681,4.0645,3.7976,10.775,1.4292
2023-09-30,0.9148,3.4812,3.2526,10.083,1.3374
2023-10-31,0.8535,3.2479,3.0346,9.8062,1.3007
2023-11-30,0.5929,2.2434,2.1007,8.6226,1.1603
2023-12-31,0.8471,3.2055,3.0017,9.7547,1.3127
2024-01-31,0.8853,3.3499,3.1368,9.9245,1.3355
2024-02-29,0.8599,3.2537,3.0467,9.8113,1.3203
2024-03-31,0.8349,3.2035,3.0048,8.2716,1.1998
2024-04-30,0.9517,3.6516,3.4251,8.7601,1.2706
2024-05-31,1.0508,4.2661,3.9529,9.7256,1.3665
2024-06-30,1.17,4.7498,4.4011,10.264,1.4421
2024-07-31,0.8702,3.5327,3.2734,8.9093,1.2518
2024-08-31,0.5596,2.4246,2.2165,7.4013,1.0218
2024-09-30,0.9004,3.9012,3.5664,9.0043,1.2431
2024-10-31,0.8598,3.7253,3.4055,8.8133,1.2168
2024-11-30,0.6231,2.806,2.525,8.474,1.11
2024-12-31,0.5891,2.6529,2.3872,8.299,1.087
2025-01-31,0.4831,2.1753,1.9575,7.7527,1.0155
2025-02-28,0.5497,2.4754,2.2275,8.0959,1.0604
2025-03-31,0.6665,3.2173,2.8528,8.8973,1.1602
2025-04-30,0.7466,3.6043,3.196,9.3109,1.2141
2025-05-31,0.7266,3.4687,3.085,9.2662,1.2781
2025-06-30,0.733,3.4992,3.1121,9.2987,1.2826
2025-07-31,1.2671,6.049,5.3798,12.013,1.657
2025-08-31,1.3735,6.4037,5.7217,11.8081,1.6432
2025-09-30,1.194,5.567,4.9741,10.9293,1.5209
2025-10-31,1.1258,5.2488,4.6898,10.5951,1.4744
2025-11-30,1.3309,6.1199,5.5141,10.9893,1.6214
2025-12-31,1.1912,5.4772,4.935,10.3366,1.5251
2026-01-31,1.2309,5.6601,5.0998,10.5223,1.5525
2026-02-28,1.255,5.7709,5.1996,10.6348,1.5691
2026-03-31,0.9479,4.3544,3.9241,9.5288,1.3571
2026-04-30,1.3561,6.2297,5.6141,11.4683,1.6333
2026-05-31,1.0508,4.8273,4.3502,10.0179,1.4268
2026-06-30,1.1005,5.0556,4.556,10.254,1.4604
2026-07-31,1.2047,5.534,4.987,10.7487,1.5308
2026-08-12,1.9537,8.9748,8.0878,14.3073,2.0377
