date,day,rank,title,chain,shows,chain_shows,show_share,screens,chain_screens,screen_share
2024-08-07,0,1,파일럿,CGV,3332,8408,0.396,722,3203,0.225
2024-08-07,0,1,파일럿,롯데시네마,2317,5424,0.427,504,1925,0.262
2024-08-07,0,1,파일럿,메가박스,1636,4708,0.347,355,1700,0.209
2024-08-07,0,1,파일럿,씨네Q,108,277,0.39,32,116,0.276
2024-08-07,0,1,파일럿,기타,269,943,0.285,123,606,0.203
2024-08-07,0,1,파일럿,전체,7662,19760,0.388,1736,7550,0.23
2024-08-07,0,2,사랑의 하츄핑,CGV,1114,8408,0.132,486,3203,0.152
2024-08-07,0,2,사랑의 하츄핑,롯데시네마,903,5424,0.166,319,1925,0.166
2024-08-07,0,2,사랑의 하츄핑,메가박스,523,4708,0.111,186,1700,0.109
2024-08-07,0,2,사랑의 하츄핑,씨네Q,40,277,0.144,16,116,0.138
2024-08-07,0,2,사랑의 하츄핑,기타,91,943,0.097,58,606,0.096
2024-08-07,0,2,사랑의 하츄핑,전체,2671,19760,0.135,1065,7550,0.141
2024-08-07,0,3,리볼버,CGV,877,8408,0.104,325,3203,0.101
2024-08-07,0,3,리볼버,롯데시네마,743,5424,0.137,252,1925,0.131
2024-08-07,0,3,리볼버,메가박스,778,4708,0.165,179,1700,0.105
2024-08-07,0,3,리볼버,씨네Q,35,277,0.126,13,116,0.112
2024-08-07,0,3,리볼버,기타,187,943,0.198,92,606,0.152
2024-08-07,0,3,리볼버,전체,2620,19760,0.133,861,7550,0.114
2024-08-07,0,4,데드풀과 울버린,CGV,719,8408,0.086,293,3203,0.091
2024-08-07,0,4,데드풀과 울버린,롯데시네마,464,5424,0.086,216,1925,0.112
2024-08-07,0,4,데드풀과 울버린,메가박스,469,4708,0.1,186,1700,0.109
2024-08-07,0,4,데드풀과 울버린,씨네Q,26,277,0.094,12,116,0.103
2024-08-07,0,4,데드풀과 울버린,기타,75,943,0.08,58,606,0.096
2024-08-07,0,4,데드풀과 울버린,전체,1753,19760,0.089,765,7550,0.101
2024-08-07,0,5,슈퍼배드 4,CGV,690,8408,0.082,293,3203,0.091
2024-08-07,0,5,슈퍼배드 4,롯데시네마,424,5424,0.078,195,1925,0.101
2024-08-07,0,5,슈퍼배드 4,메가박스,459,4708,0.097,197,1700,0.116
2024-08-07,0,5,슈퍼배드 4,씨네Q,28,277,0.101,13,116,0.112
2024-08-07,0,5,슈퍼배드 4,기타,67,943,0.071,53,606,0.087
2024-08-07,0,5,슈퍼배드 4,전체,1668,19760,0.084,751,7550,0.099
2024-08-08,1,1,파일럿,CGV,3358,8361,0.402,723,3207,0.225
2024-08-08,1,1,파일럿,롯데시네마,2248,5337,0.421,506,1965,0.258
2024-08-08,1,1,파일럿,메가박스,1625,4586,0.354,363,1730,0.21
2024-08-08,1,1,파일럿,씨네Q,108,278,0.388,30,113,0.265
