date,day,rank,title,open,adm,cum,screens,shows,adm_share,show_share,screen_share
2024-08-07,0,1,파일럿,2024-07-31,131424,2178710,1736,7662,0.3755,0.3878,0.2299
2024-08-07,0,2,사랑의 하츄핑,2024-08-07,57473,107156,1065,2671,0.1642,0.1352,0.1411
2024-08-07,0,3,리볼버,2024-08-07,56016,59623,861,2620,0.16,0.1326,0.114
2024-08-07,0,4,슈퍼배드 4,2024-07-24,22865,1257505,751,1668,0.0653,0.0844,0.0995
2024-08-07,0,5,데드풀과 울버린,2024-07-24,20598,1749718,765,1753,0.0588,0.0887,0.1013
2024-08-07,0,6,인사이드 아웃 2,2024-06-12,13010,8608445,516,803,0.0372,0.0406,0.0683
2024-08-07,0,7,극장총집편 봇치 더 록! 전편,2024-08-07,11565,18326,176,443,0.033,0.0224,0.0233
2024-08-07,0,8,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,9229,675556,296,402,0.0264,0.0203,0.0392
2024-08-07,0,9,탈주,2024-07-03,5515,2513009,386,578,0.0158,0.0293,0.0511
2024-08-07,0,10,빅토리,2024-08-14,3035,14217,17,17,0.0087,0.0009,0.0023
2024-08-08,1,1,파일럿,2024-07-31,127355,2306065,1746,7606,0.4483,0.3898,0.2284
2024-08-08,1,2,사랑의 하츄핑,2024-08-07,35186,142342,1026,2602,0.1239,0.1334,0.1342
2024-08-08,1,3,리볼버,2024-08-07,27490,87113,858,2486,0.0968,0.1274,0.1122
2024-08-08,1,4,슈퍼배드 4,2024-07-24,22082,1279587,758,1648,0.0777,0.0845,0.0991
2024-08-08,1,5,데드풀과 울버린,2024-07-24,19792,1769510,770,1733,0.0697,0.0888,0.1007
2024-08-08,1,6,인사이드 아웃 2,2024-06-12,12948,8621393,562,859,0.0456,0.044,0.0735
2024-08-08,1,7,행복의 나라,2024-08-14,6157,12597,26,26,0.0217,0.0013,0.0034
2024-08-08,1,8,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,5474,681030,307,408,0.0193,0.0209,0.0402
2024-08-08,1,9,탈주,2024-07-03,5308,2518317,421,595,0.0187,0.0305,0.0551
2024-08-08,1,10,극장총집편 봇치 더 록! 전편,2024-08-07,3755,22081,171,390,0.0132,0.02,0.0224
2024-08-09,2,1,파일럿,2024-07-31,147241,2453306,1795,8037,0.4885,0.4009,0.2333
2024-08-09,2,2,사랑의 하츄핑,2024-08-07,33470,175812,1042,2749,0.111,0.1371,0.1354
2024-08-09,2,3,리볼버,2024-08-07,26097,113210,856,2451,0.0866,0.1223,0.1112
2024-08-09,2,4,데드풀과 울버린,2024-07-24,25353,1794863,769,1764,0.0841,0.088,0.0999
2024-08-09,2,5,슈퍼배드 4,2024-07-24,23086,1302673,767,1617,0.0766,0.0807,0.0997
2024-08-09,2,6,인사이드 아웃 2,2024-06-12,13312,8634705,583,889,0.0442,0.0443,0.0758
2024-08-09,2,7,탈주,2024-07-03,6572,2524889,437,654,0.0218,0.0326,0.0568
2024-08-09,2,8,극장총집편 봇치 더 록! 전편,2024-08-07,5389,27470,173,366,0.0179,0.0183,0.0225
2024-08-09,2,9,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,4986,686016,306,406,0.0165,0.0203,0.0398
2024-08-09,2,10,퍼펙트 데이즈,2024-07-03,1874,92524,47,74,0.0062,0.0037,0.0061
2024-08-10,3,1,파일럿,2024-07-31,307553,2760859,1865,8611,0.4713,0.3982,0.2278
2024-08-10,3,2,사랑의 하츄핑,2024-08-07,121522,297334,1153,3617,0.1862,0.1673,0.1408
2024-08-10,3,3,슈퍼배드 4,2024-07-24,46959,1349632,785,1616,0.072,0.0747,0.0959
2024-08-10,3,4,데드풀과 울버린,2024-07-24,46033,1840896,787,1715,0.0705,0.0793,0.0961
2024-08-10,3,5,리볼버,2024-08-07,44163,157373,855,2208,0.0677,0.1021,0.1044
2024-08-10,3,6,인사이드 아웃 2,2024-06-12,24712,8659417,606,915,0.0379,0.0423,0.074
2024-08-10,3,7,탈주,2024-07-03,10277,2535166,416,638,0.0158,0.0295,0.0508
2024-08-10,3,8,극장총집편 봇치 더 록! 전편,2024-08-07,7967,35437,194,364,0.0122,0.0168,0.0237
2024-08-10,3,9,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,7619,693635,286,388,0.0117,0.0179,0.0349
2024-08-10,3,10,트위스터스,2024-08-14,6407,8187,63,144,0.0098,0.0067,0.0077
2024-08-11,4,1,파일럿,2024-07-31,268428,3029287,1842,8137,0.4711,0.3952,0.2297
2024-08-11,4,2,사랑의 하츄핑,2024-08-07,109050,406384,1159,3586,0.1914,0.1742,0.1445
2024-08-11,4,3,슈퍼배드 4,2024-07-24,46075,1395707,775,1563,0.0809,0.0759,0.0966
2024-08-11,4,4,리볼버,2024-08-07,35962,193335,824,2014,0.0631,0.0978,0.1027
2024-08-11,4,5,데드풀과 울버린,2024-07-24,33965,1874861,767,1607,0.0596,0.0781,0.0956
2024-08-11,4,6,인사이드 아웃 2,2024-06-12,24479,8683896,601,896,0.043,0.0435,0.0749
2024-08-11,4,7,탈주,2024-07-03,9114,2544280,393,594,0.016,0.0289,0.049
2024-08-11,4,8,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,7025,700660,284,387,0.0123,0.0188,0.0354
2024-08-11,4,9,극장총집편 봇치 더 록! 전편,2024-08-07,6416,41853,193,340,0.0113,0.0165,0.0241
2024-08-11,4,10,트위스터스,2024-08-14,5972,14159,63,144,0.0105,0.007,0.0079
