date,day,rank,title,open,adm,cum,screens,shows,adm_share,show_share,screen_share
2024-08-12,5,1,파일럿,2024-07-31,93481,3122768,1667,7476,0.4987,0.4123,0.2374
2024-08-12,5,2,사랑의 하츄핑,2024-08-07,17737,424121,873,2394,0.0946,0.132,0.1243
2024-08-12,5,3,슈퍼배드 4,2024-07-24,14940,1410647,708,1491,0.0797,0.0822,0.1008
2024-08-12,5,4,데드풀과 울버린,2024-07-24,14482,1889343,709,1518,0.0773,0.0837,0.101
2024-08-12,5,5,리볼버,2024-08-07,14477,207812,750,1953,0.0772,0.1077,0.1068
2024-08-12,5,6,인사이드 아웃 2,2024-06-12,10851,8694747,585,930,0.0579,0.0513,0.0833
2024-08-12,5,7,탈주,2024-07-03,5117,2549397,428,663,0.0273,0.0366,0.0609
2024-08-12,5,8,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,3570,704230,288,398,0.019,0.022,0.041
2024-08-12,5,9,극장총집편 봇치 더 록! 전편,2024-08-07,1815,43668,155,310,0.0097,0.0171,0.0221
2024-08-12,5,10,퍼펙트 데이즈,2024-07-03,1458,100401,47,73,0.0078,0.004,0.0067
2024-08-13,6,1,파일럿,2024-07-31,89240,3212008,1682,7432,0.4658,0.407,0.2316
2024-08-13,6,2,슈퍼배드 4,2024-07-24,17333,1427980,752,1549,0.0905,0.0848,0.1036
2024-08-13,6,3,사랑의 하츄핑,2024-08-07,16627,440748,853,2196,0.0868,0.1203,0.1175
2024-08-13,6,4,리볼버,2024-08-07,15323,223135,762,1972,0.08,0.108,0.1049
2024-08-13,6,5,데드풀과 울버린,2024-07-24,14493,1903836,755,1598,0.0757,0.0875,0.104
2024-08-13,6,6,인사이드 아웃 2,2024-06-12,11913,8706660,623,1011,0.0622,0.0554,0.0858
2024-08-13,6,7,탈주,2024-07-03,5165,2554562,433,676,0.027,0.037,0.0596
2024-08-13,6,8,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,3612,707842,303,410,0.0189,0.0225,0.0417
2024-08-13,6,9,필사의 추격,2024-08-21,1822,2860,7,8,0.0095,0.0004,0.001
2024-08-13,6,10,극장총집편 봇치 더 록! 전편,2024-08-07,1672,45340,155,304,0.0087,0.0166,0.0213
2024-08-14,7,1,에이리언: 로물루스,2024-08-14,95354,96500,1108,2839,0.2329,0.1439,0.1461
2024-08-14,7,2,파일럿,2024-07-31,85345,3297353,984,3527,0.2085,0.1788,0.1297
2024-08-14,7,3,행복의 나라,2024-08-14,78391,90988,1096,4463,0.1915,0.2263,0.1445
2024-08-14,7,4,트위스터스,2024-08-14,38801,52960,798,2026,0.0948,0.1027,0.1052
2024-08-14,7,5,빅토리,2024-08-14,36258,53265,776,2786,0.0886,0.1413,0.1023
2024-08-14,7,6,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,2024-08-14,14592,14736,102,211,0.0356,0.0107,0.0134
2024-08-14,7,7,사랑의 하츄핑,2024-08-07,12606,453354,595,1160,0.0308,0.0588,0.0784
2024-08-14,7,8,슈퍼배드 4,2024-07-24,8162,1436142,366,465,0.0199,0.0236,0.0482
2024-08-14,7,9,데드풀과 울버린,2024-07-24,5603,1909439,176,246,0.0137,0.0125,0.0232
2024-08-14,7,10,인사이드 아웃 2,2024-06-12,4969,8711629,198,249,0.0121,0.0126,0.0261
2024-08-15,8,1,파일럿,2024-07-31,204693,3502046,1126,3809,0.2402,0.1826,0.1317
2024-08-15,8,2,에이리언: 로물루스,2024-08-14,159906,256406,1175,2977,0.1877,0.1427,0.1374
2024-08-15,8,3,행복의 나라,2024-08-14,134057,225045,1087,4204,0.1573,0.2015,0.1271
2024-08-15,8,4,사랑의 하츄핑,2024-08-07,92529,545883,802,1799,0.1086,0.0862,0.0938
2024-08-15,8,5,트위스터스,2024-08-14,74376,127336,783,1842,0.0873,0.0883,0.0916
2024-08-15,8,6,빅토리,2024-08-14,51858,105123,789,2579,0.0609,0.1236,0.0923
2024-08-15,8,7,슈퍼배드 4,2024-07-24,29094,1465236,401,547,0.0341,0.0262,0.0469
2024-08-15,8,8,인사이드 아웃 2,2024-06-12,16353,8727982,222,273,0.0192,0.0131,0.026
2024-08-15,8,9,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,2024-08-14,11327,26063,103,202,0.0133,0.0097,0.012
2024-08-15,8,10,10 라이브즈,2024-08-15,11153,12443,191,319,0.0131,0.0153,0.0223
2024-08-16,9,1,에이리언: 로물루스,2024-08-14,104134,360540,1262,3383,0.2672,0.1668,0.1521
2024-08-16,9,2,파일럿,2024-07-31,95764,3597810,1173,4048,0.2458,0.1996,0.1414
2024-08-16,9,3,행복의 나라,2024-08-14,59364,284409,1007,3910,0.1524,0.1928,0.1214
2024-08-16,9,4,트위스터스,2024-08-14,36524,163860,806,1931,0.0937,0.0952,0.0972
2024-08-16,9,5,빅토리,2024-08-14,22458,127581,752,2395,0.0576,0.1181,0.0906
2024-08-16,9,6,사랑의 하츄핑,2024-08-07,15704,561587,623,1199,0.0403,0.0591,0.0751
2024-08-16,9,7,슈퍼배드 4,2024-07-24,8704,1473940,386,496,0.0223,0.0245,0.0465
2024-08-16,9,8,데드풀과 울버린,2024-07-24,6395,1924784,185,250,0.0164,0.0123,0.0223
2024-08-16,9,9,인사이드 아웃 2,2024-06-12,5940,8733922,206,252,0.0152,0.0124,0.0248
2024-08-16,9,10,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,2024-08-14,4752,30815,103,201,0.0122,0.0099,0.0124
2024-08-17,10,1,에이리언: 로물루스,2024-08-14,182739,543279,1410,3861,0.2692,0.1823,0.1555
2024-08-17,10,2,파일럿,2024-07-31,158790,3756600,1340,4517,0.2339,0.2132,0.1478
2024-08-17,10,3,행복의 나라,2024-08-14,88615,373024,982,3476,0.1305,0.1641,0.1083
2024-08-17,10,4,트위스터스,2024-08-14,60844,224704,874,1884,0.0896,0.0889,0.0964
2024-08-17,10,5,사랑의 하츄핑,2024-08-07,54578,616165,810,1737,0.0804,0.082,0.0893
2024-08-17,10,6,빅토리,2024-08-14,37078,164659,719,1955,0.0546,0.0923,0.0793
2024-08-17,10,7,슈퍼배드 4,2024-07-24,18103,1492043,442,609,0.0267,0.0287,0.0487
2024-08-17,10,8,데드풀과 울버린,2024-07-24,10842,1935626,204,273,0.016,0.0129,0.0225
2024-08-17,10,9,인사이드 아웃 2,2024-06-12,10578,8744500,261,334,0.0156,0.0158,0.0288
2024-08-17,10,10,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,2024-08-14,8083,38898,105,209,0.0119,0.0099,0.0116
2024-08-18,11,1,에이리언: 로물루스,2024-08-14,154340,697619,1436,3810,0.2664,0.1876,0.1606
2024-08-18,11,2,파일럿,2024-07-31,129595,3886195,1309,4309,0.2237,0.2122,0.1464
2024-08-18,11,3,행복의 나라,2024-08-14,74604,447628,958,3252,0.1288,0.1601,0.1071
2024-08-18,11,4,사랑의 하츄핑,2024-08-07,55087,671252,816,1714,0.0951,0.0844,0.0912
2024-08-18,11,5,트위스터스,2024-08-14,50317,275021,849,1778,0.0868,0.0876,0.0949
2024-08-18,11,6,빅토리,2024-08-14,30808,195467,704,1790,0.0532,0.0881,0.0787
2024-08-18,11,7,슈퍼배드 4,2024-07-24,16993,1509036,453,598,0.0293,0.0294,0.0506
2024-08-18,11,8,인사이드 아웃 2,2024-06-12,10302,8754802,247,318,0.0178,0.0157,0.0276
2024-08-18,11,9,데드풀과 울버린,2024-07-24,6503,1942129,194,248,0.0112,0.0122,0.0217
2024-08-18,11,10,10 라이브즈,2024-08-15,5334,25700,185,264,0.0092,0.013,0.0207
2024-08-19,12,1,에이리언: 로물루스,2024-08-14,56121,753740,1148,3545,0.2979,0.2054,0.1607
2024-08-19,12,2,파일럿,2024-07-31,40581,3926776,1025,3757,0.2154,0.2176,0.1435
2024-08-19,12,3,행복의 나라,2024-08-14,24587,472215,851,2924,0.1305,0.1694,0.1192
2024-08-19,12,4,트위스터스,2024-08-14,18238,293259,775,1746,0.0968,0.1011,0.1085
2024-08-19,12,5,빅토리,2024-08-14,11915,207382,669,1726,0.0633,0.1,0.0937
2024-08-19,12,6,사랑의 하츄핑,2024-08-07,7651,678903,496,832,0.0406,0.0482,0.0694
2024-08-19,12,7,슈퍼배드 4,2024-07-24,4096,1513132,293,374,0.0217,0.0217,0.041
2024-08-19,12,8,인사이드 아웃 2,2024-06-12,3129,8757931,192,241,0.0166,0.014,0.0269
2024-08-19,12,9,데드풀과 울버린,2024-07-24,3005,1945134,171,238,0.016,0.0138,0.0239
2024-08-19,12,10,마야,2024-08-16,2167,17482,62,87,0.0115,0.005,0.0087
2024-08-20,13,1,에이리언: 로물루스,2024-08-14,49964,803704,1191,3591,0.283,0.2087,0.1637
2024-08-20,13,2,파일럿,2024-07-31,37134,3963910,1043,3694,0.2103,0.2147,0.1433
2024-08-20,13,3,행복의 나라,2024-08-14,23332,495547,870,2845,0.1321,0.1653,0.1196
2024-08-20,13,4,트위스터스,2024-08-14,17142,310401,777,1696,0.0971,0.0986,0.1068
2024-08-20,13,5,빅토리,2024-08-14,14864,222246,668,1794,0.0842,0.1042,0.0918
2024-08-20,13,6,사랑의 하츄핑,2024-08-07,7826,686729,497,826,0.0443,0.048,0.0683
2024-08-20,13,7,슈퍼배드 4,2024-07-24,3535,1516667,291,364,0.02,0.0212,0.04
2024-08-20,13,8,데드풀과 울버린,2024-07-24,2819,1947953,173,238,0.016,0.0138,0.0238
2024-08-20,13,9,인사이드 아웃 2,2024-06-12,2520,8760451,195,240,0.0143,0.0139,0.0268
2024-08-20,13,10,마야,2024-08-16,1676,19158,58,89,0.0095,0.0052,0.008
2024-08-21,14,1,에이리언: 로물루스,2024-08-14,49500,853204,1070,3573,0.2099,0.201,0.1362
2024-08-21,14,2,파일럿,2024-07-31,41393,4005303,963,3284,0.1756,0.1847,0.1226
2024-08-21,14,3,늘봄가든,2024-08-21,33542,34798,638,1477,0.1423,0.0831,0.0812
2024-08-21,14,4,필사의 추격,2024-08-21,20564,23424,623,1547,0.0872,0.087,0.0793
2024-08-21,14,5,행복의 나라,2024-08-14,16971,512518,757,2088,0.072,0.1174,0.0963
2024-08-21,14,6,트위스터스,2024-08-14,14555,324956,708,1366,0.0617,0.0768,0.0901
2024-08-21,14,7,극장판 블루 록 -에피소드 나기-,2024-08-21,9847,13563,276,581,0.0418,0.0327,0.0351
2024-08-21,14,8,빅토리,2024-08-14,8550,230796,642,1102,0.0363,0.062,0.0817
2024-08-21,14,9,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,2024-08-14,6264,52259,93,203,0.0266,0.0114,0.0118
2024-08-21,14,10,사랑의 하츄핑,2024-08-07,5457,692186,435,571,0.0231,0.0321,0.0554
2024-08-22,15,1,에이리언: 로물루스,2024-08-14,46826,900030,1061,3549,0.2504,0.2036,0.1347
2024-08-22,15,2,파일럿,2024-07-31,33096,4038399,931,3160,0.177,0.1813,0.1182
2024-08-22,15,3,늘봄가든,2024-08-21,20386,55184,709,1515,0.109,0.0869,0.09
2024-08-22,15,4,행복의 나라,2024-08-14,17287,529805,752,2051,0.0924,0.1177,0.0955
2024-08-22,15,5,필사의 추격,2024-08-21,13574,36998,634,1453,0.0726,0.0834,0.0805
2024-08-22,15,6,트위스터스,2024-08-14,13045,338001,695,1315,0.0698,0.0754,0.0883
2024-08-22,15,7,빅토리,2024-08-14,8564,239360,641,1105,0.0458,0.0634,0.0814
2024-08-22,15,8,사랑의 하츄핑,2024-08-07,5039,697225,435,573,0.0269,0.0329,0.0552
2024-08-22,15,9,극장판 블루 록 -에피소드 나기-,2024-08-21,3013,16576,253,494,0.0161,0.0283,0.0321
2024-08-22,15,10,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,2024-08-14,2552,54811,93,199,0.0136,0.0114,0.0118
2024-08-23,16,1,에이리언: 로물루스,2024-08-14,65600,965630,1105,3830,0.2779,0.2106,0.1359
2024-08-23,16,2,파일럿,2024-07-31,39938,4078337,939,3313,0.1692,0.1821,0.1155
2024-08-23,16,3,늘봄가든,2024-08-21,31223,86407,810,1735,0.1323,0.0954,0.0996
2024-08-23,16,4,행복의 나라,2024-08-14,18916,548721,740,2027,0.0801,0.1114,0.091
2024-08-23,16,5,트위스터스,2024-08-14,17591,355592,697,1374,0.0745,0.0755,0.0857
2024-08-23,16,6,필사의 추격,2024-08-21,13573,50571,596,1387,0.0575,0.0763,0.0733
2024-08-23,16,7,빅토리,2024-08-14,10636,249996,647,1128,0.0451,0.062,0.0796
2024-08-23,16,8,사랑의 하츄핑,2024-08-07,6170,703395,444,587,0.0261,0.0323,0.0546
2024-08-23,16,9,가필드 더 무비,2024-05-15,4379,339094,124,165,0.0186,0.0091,0.0152
2024-08-23,16,10,극장판 블루 록 -에피소드 나기-,2024-08-21,2712,19288,244,437,0.0115,0.024,0.03
2024-08-24,17,1,에이리언: 로물루스,2024-08-14,149918,1115548,1217,4536,0.2797,0.2254,0.1351
2024-08-24,17,2,파일럿,2024-07-31,93031,4171368,951,3462,0.1736,0.172,0.1056
2024-08-24,17,3,늘봄가든,2024-08-21,65417,151824,871,1920,0.122,0.0954,0.0967
2024-08-24,17,4,사랑의 하츄핑,2024-08-07,43261,746656,727,1305,0.0807,0.0648,0.0807
2024-08-24,17,5,트위스터스,2024-08-14,39765,395357,717,1367,0.0742,0.0679,0.0796
2024-08-24,17,6,행복의 나라,2024-08-14,33989,582710,772,1927,0.0634,0.0957,0.0857
2024-08-24,17,7,빅토리,2024-08-14,23340,273336,669,1117,0.0435,0.0555,0.0743
2024-08-24,17,8,필사의 추격,2024-08-21,16477,67048,626,1262,0.0307,0.0627,0.0695
2024-08-24,17,9,극장판 블루 록 -에피소드 나기-,2024-08-21,11323,30611,262,432,0.0211,0.0215,0.0291
2024-08-24,17,10,슈퍼배드 4,2024-07-24,8007,1530065,260,331,0.0149,0.0164,0.0289
2024-08-25,18,1,에이리언: 로물루스,2024-08-14,126920,1242468,1171,4326,0.2699,0.2237,0.132
2024-08-25,18,2,파일럿,2024-07-31,81667,4253035,937,3290,0.1737,0.1701,0.1057
2024-08-25,18,3,늘봄가든,2024-08-21,52822,204646,875,1905,0.1123,0.0985,0.0987
2024-08-25,18,4,사랑의 하츄핑,2024-08-07,43839,790495,729,1286,0.0932,0.0665,0.0822
2024-08-25,18,5,트위스터스,2024-08-14,34114,429471,686,1288,0.0725,0.0666,0.0774
2024-08-25,18,6,행복의 나라,2024-08-14,31865,614575,762,1796,0.0678,0.0929,0.0859
2024-08-25,18,7,빅토리,2024-08-14,20421,293757,668,1097,0.0434,0.0567,0.0753
2024-08-25,18,8,필사의 추격,2024-08-21,14947,81995,601,1197,0.0318,0.0619,0.0678
2024-08-25,18,9,슈퍼배드 4,2024-07-24,9314,1539379,278,353,0.0198,0.0183,0.0313
2024-08-25,18,10,극장판 블루 록 -에피소드 나기-,2024-08-21,7781,38392,263,415,0.0165,0.0215,0.0297
2024-08-26,19,1,에이리언: 로물루스,2024-08-14,39030,1281498,1020,3638,0.2644,0.2245,0.1367
2024-08-26,19,2,파일럿,2024-07-31,23207,4276242,859,2828,0.1572,0.1745,0.1151
2024-08-26,19,3,늘봄가든,2024-08-21,17613,222259,743,1674,0.1193,0.1033,0.0996
2024-08-26,19,4,트위스터스,2024-08-14,14606,444077,697,1341,0.099,0.0827,0.0934
2024-08-26,19,5,행복의 나라,2024-08-14,12906,627481,687,1694,0.0874,0.1045,0.0921
2024-08-26,19,6,빅토리,2024-08-14,10165,303922,654,1114,0.0689,0.0687,0.0877
2024-08-26,19,7,필사의 추격,2024-08-21,6410,88405,574,1120,0.0434,0.0691,0.0769
2024-08-26,19,8,사랑의 하츄핑,2024-08-07,5264,795759,426,554,0.0357,0.0342,0.0571
2024-08-26,19,9,극장판 블루 록 -에피소드 나기-,2024-08-21,2576,40968,244,356,0.0175,0.022,0.0327
2024-08-26,19,10,데드풀과 울버린,2024-07-24,1331,1962077,113,147,0.009,0.0091,0.0151
2024-08-27,20,1,에이리언: 로물루스,2024-08-14,35014,1316512,1033,3609,0.235,0.2236,0.1367
2024-08-27,20,2,파일럿,2024-07-31,22275,4298517,872,2789,0.1495,0.1728,0.1154
2024-08-27,20,3,늘봄가든,2024-08-21,15822,238081,752,1632,0.1062,0.1011,0.0995
2024-08-27,20,4,트위스터스,2024-08-14,14312,458389,692,1325,0.0961,0.0821,0.0915
2024-08-27,20,5,행복의 나라,2024-08-14,12634,640115,691,1709,0.0848,0.1059,0.0914
2024-08-27,20,6,빅토리,2024-08-14,10270,314192,680,1136,0.0689,0.0704,0.09
2024-08-27,20,7,필사의 추격,2024-08-21,6920,95325,566,1094,0.0464,0.0678,0.0749
2024-08-27,20,8,사랑의 하츄핑,2024-08-07,5645,801404,427,553,0.0379,0.0343,0.0565
2024-08-27,20,9,극장판 블루 록 -에피소드 나기-,2024-08-21,3392,44360,253,375,0.0228,0.0232,0.0335
2024-08-27,20,10,"안녕, 할부지",2024-09-04,2193,2319,9,11,0.0147,0.0007,0.0012
2024-08-28,21,1,에이리언: 로물루스,2024-08-14,63379,1379891,998,3602,0.23,0.211,0.1229
2024-08-28,21,2,임영웅│아임 히어로 더 스타디움,2024-08-28,49718,50179,224,1103,0.1804,0.0646,0.0276
2024-08-28,21,3,파일럿,2024-07-31,38400,4336917,838,2633,0.1393,0.1542,0.1032
2024-08-28,21,4,트위스터스,2024-08-14,17453,475842,492,907,0.0633,0.0531,0.0606
2024-08-28,21,5,늘봄가든,2024-08-21,14259,252340,667,1297,0.0517,0.076,0.0821
2024-08-28,21,6,행복의 나라,2024-08-14,13691,653806,632,1115,0.0497,0.0653,0.0778
2024-08-28,21,7,소년시절의 너,2020-07-09,13036,97570,338,488,0.0473,0.0286,0.0416
2024-08-28,21,8,한국이 싫어서,2024-08-28,11800,15062,588,1302,0.0428,0.0763,0.0724
2024-08-28,21,9,빅토리,2024-08-14,10061,324253,511,764,0.0365,0.0448,0.0629
2024-08-28,21,10,이매지너리,2024-08-28,6410,7233,218,486,0.0233,0.0285,0.0268
2024-08-29,22,1,에이리언: 로물루스,2024-08-14,33600,1413491,984,3445,0.1916,0.2087,0.1216
2024-08-29,22,2,파일럿,2024-07-31,23973,4360890,848,2543,0.1367,0.1541,0.1048
2024-08-29,22,3,임영웅│아임 히어로 더 스타디움,2024-08-28,23837,74016,214,1010,0.1359,0.0612,0.0264
2024-08-29,22,4,트위스터스,2024-08-14,11980,487822,530,957,0.0683,0.058,0.0655
2024-08-29,22,5,늘봄가든,2024-08-21,11391,263731,631,1255,0.065,0.076,0.078
2024-08-29,22,6,소년시절의 너,2020-07-09,10873,108443,382,567,0.062,0.0344,0.0472
2024-08-29,22,7,행복의 나라,2024-08-14,9759,663565,647,1103,0.0556,0.0668,0.08
2024-08-29,22,8,빅토리,2024-08-14,8873,333126,536,802,0.0506,0.0486,0.0662
2024-08-29,22,9,한국이 싫어서,2024-08-28,6216,21278,558,1159,0.0354,0.0702,0.069
2024-08-29,22,10,사랑의 하츄핑,2024-08-07,4889,810694,352,426,0.0279,0.0258,0.0435
2024-08-30,23,1,에이리언: 로물루스,2024-08-14,46594,1460085,1007,3736,0.2522,0.2191,0.1244
2024-08-30,23,2,파일럿,2024-07-31,29762,4390652,854,2730,0.1611,0.1601,0.1055
2024-08-30,23,3,임영웅│아임 히어로 더 스타디움,2024-08-28,20870,94886,210,1018,0.113,0.0597,0.0259
2024-08-30,23,4,트위스터스,2024-08-14,12530,500352,523,1020,0.0678,0.0598,0.0646
2024-08-30,23,5,늘봄가든,2024-08-21,11001,274732,648,1295,0.0595,0.0759,0.0801
2024-08-30,23,6,소년시절의 너,2020-07-09,10467,118910,414,693,0.0567,0.0406,0.0512
2024-08-30,23,7,빅토리,2024-08-14,8979,342105,547,835,0.0486,0.049,0.0676
2024-08-30,23,8,행복의 나라,2024-08-14,6925,670490,611,1038,0.0375,0.0609,0.0755
2024-08-30,23,9,한국이 싫어서,2024-08-28,6087,27365,544,1101,0.0329,0.0646,0.0672
2024-08-30,23,10,사랑의 하츄핑,2024-08-07,4103,814797,356,446,0.0222,0.0262,0.044
2024-08-31,24,1,에이리언: 로물루스,2024-08-14,100045,1560130,1020,4152,0.24,0.2135,0.1128
2024-08-31,24,2,파일럿,2024-07-31,67278,4457930,866,2919,0.1614,0.1501,0.0958
2024-08-31,24,3,임영웅│아임 히어로 더 스타디움,2024-08-28,38955,133841,217,1056,0.0934,0.0543,0.024
2024-08-31,24,4,사랑의 하츄핑,2024-08-07,35029,849826,695,1310,0.084,0.0674,0.0769
2024-08-31,24,5,트위스터스,2024-08-14,31393,531745,552,1077,0.0753,0.0554,0.0611
2024-08-31,24,6,늘봄가든,2024-08-21,29499,304231,683,1581,0.0708,0.0813,0.0755
2024-08-31,24,7,빅토리,2024-08-14,20777,362882,619,955,0.0498,0.0491,0.0685
2024-08-31,24,8,소년시절의 너,2020-07-09,18564,137474,467,818,0.0445,0.0421,0.0517
2024-08-31,24,9,행복의 나라,2024-08-14,11241,681731,619,996,0.027,0.0512,0.0685
2024-08-31,24,10,한국이 싫어서,2024-08-28,8334,35699,558,987,0.02,0.0508,0.0617
2024-09-01,25,1,에이리언: 로물루스,2024-08-14,76577,1636707,1009,3921,0.2267,0.2147,0.1148
2024-09-01,25,2,파일럿,2024-07-31,50909,4508839,840,2752,0.1507,0.1507,0.0956
2024-09-01,25,3,사랑의 하츄핑,2024-08-07,35020,884846,690,1291,0.1037,0.0707,0.0785
2024-09-01,25,4,임영웅│아임 히어로 더 스타디움,2024-08-28,27580,161421,214,984,0.0817,0.0539,0.0243
2024-09-01,25,5,늘봄가든,2024-08-21,25891,330122,676,1466,0.0767,0.0803,0.0769
2024-09-01,25,6,트위스터스,2024-08-14,25451,557196,559,1055,0.0753,0.0578,0.0636
2024-09-01,25,7,소년시절의 너,2020-07-09,18246,155720,461,800,0.054,0.0438,0.0524
2024-09-01,25,8,빅토리,2024-08-14,15984,378866,601,894,0.0473,0.0489,0.0684
2024-09-01,25,9,행복의 나라,2024-08-14,8457,690188,585,914,0.025,0.05,0.0666
2024-09-01,25,10,한국이 싫어서,2024-08-28,5026,40725,526,859,0.0149,0.047,0.0598
2024-09-02,26,1,에이리언: 로물루스,2024-08-14,22195,1658902,931,3294,0.2351,0.2317,0.1328
