date,price
2024-04-01,14920
2024-04-02,14600
2024-04-03,14260
2024-04-04,14220
2024-04-05,13780
2024-04-08,13410
2024-04-09,13640
2024-04-11,13420
2024-04-12,13620
2024-04-15,13230
2024-04-16,12980
2024-04-17,12980
2024-04-18,13270
2024-04-19,13290
2024-04-22,13440
2024-04-23,13460
2024-04-24,13720
2024-04-25,13430
2024-04-26,13050
2024-04-29,13420
2024-04-30,13250
2024-05-02,13580
2024-05-03,13530
2024-05-07,13500
2024-05-08,13450
2024-05-09,13440
2024-05-10,13530
2024-05-13,12910
2024-05-14,13110
2024-05-16,12820
2024-05-17,12670
2024-05-20,12210
2024-05-21,11910
2024-05-22,11990
2024-05-23,11830
2024-05-24,11600
2024-05-27,11770
2024-05-28,11560
2024-05-29,11310
2024-05-30,11150
2024-05-31,11240
2024-06-03,11370
2024-06-04,11380
2024-06-05,11200
2024-06-07,11280
2024-06-10,10850
2024-06-11,10550
2024-06-12,10420
2024-06-13,10230
2024-06-14,10170
2024-06-17,10070
2024-06-18,10250
2024-06-19,10070
2024-06-20,9610
2024-06-21,9200
2024-06-24,8880
2024-06-25,9160
2024-06-26,9290
2024-06-27,9120
2024-06-28,9220
2024-07-01,9470
2024-07-02,9540
2024-07-03,9250
2024-07-04,9200
2024-07-05,9200
2024-07-08,9660
2024-07-09,9520
2024-07-10,9390
2024-07-11,9390
2024-07-12,9740
2024-07-15,10140
2024-07-16,10680
2024-07-17,10810
2024-07-18,10590
2024-07-19,10510
2024-07-22,10850
2024-07-23,10680
2024-07-24,10850
2024-07-25,11180
2024-07-26,11130
2024-07-29,11350
2024-07-30,11290
2024-07-31,10640
2024-08-01,11510
2024-08-02,11270
2024-08-05,10500
2024-08-06,10830
2024-08-07,11560
2024-08-08,12430
2024-08-09,13350
2024-08-12,13730
2024-08-13,12230
2024-08-14,11880
2024-08-16,13100
2024-08-19,12190
2024-08-20,12270
2024-08-21,12400
2024-08-22,12510
2024-08-23,13000
2024-08-26,13530
2024-08-27,13710
2024-08-28,13490
2024-08-29,13170
2024-08-30,12990
2024-09-02,13000
2024-09-03,12560
2024-09-04,12090
2024-09-05,12310
2024-09-06,12010
2024-09-09,15610
2024-09-10,16690
2024-09-11,17160
2024-09-12,17510
2024-09-13,19310
2024-09-19,19390
2024-09-20,17770
2024-09-23,15210
2024-09-24,15780
2024-09-25,15720
2024-09-26,15830
2024-09-27,16350
2024-09-30,15720
2024-10-02,15620
2024-10-04,15080
2024-10-07,14710
2024-10-08,14740
2024-10-10,15150
2024-10-11,14360
2024-10-14,14830
2024-10-15,14920
2024-10-16,15720
2024-10-17,14660
2024-10-18,13830
2024-10-21,13770
2024-10-22,13160
2024-10-23,13560
2024-10-24,13300
2024-10-25,12880
2024-10-28,12960
2024-10-29,13150
2024-10-30,12820
2024-10-31,12870
2024-11-01,12520
2024-11-04,12650
2024-11-05,12970
2024-11-06,12540
2024-11-07,12440
2024-11-08,12000
2024-11-11,11360
2024-11-12,11170
2024-11-13,10900
2024-11-14,11600
2024-11-15,11550
2024-11-18,12050
2024-11-19,12950
