연도,기간,글로벌(GWh),중국제외(GWh),한국3사_중국제외(GWh),한국3사_중국제외_MS(%)수기,출처,URL,페이지/표,접근일,비고
2025,연간,,,,16.5,SNE Research→IBK투자증권 Monthly,,표 C-4,2026-09-01,한국 3사 글로벌 M/S(중국제외 아님) 16.5%
2026,1~6월 누적,608.5,269.0,74.3,,SNE Research→IBK투자증권 Monthly(2026.8),,입문서 2차전지_산업입문서_EV_ESS_v02.docx 표 C-4,2026-09-01,글로벌 +19.9% YoY. 한국3사 글로벌 M/S 13.5%. CATL 중국제외 33.6% 1위
