series,year,month,value,unit,src
유럽,2026,2,31.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,3,53.9,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,4,40.9,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,5,41.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,6,53.9,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,1,77.3,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,2,72.2,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,3,105.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,4,98.7,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,5,110.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,6,121.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,7,107.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,8,120.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,9,140.7,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,10,136.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,11,142.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,12,147.9,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,1,65.0,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,2,49.7,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,3,96.2,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,4,97.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,5,107.6,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,6,114.5,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
