월,탄산리튬(CNY/t),출처,URL,페이지/표,접근일,비고
2025-10,73550,SMM,https://www.metal.com,,2026-08-31,ESS 수급 워크북 v1c에서 인용
2026-04,167000,SMM,https://www.metal.com,,2026-08-31,저점 대비 +127%
